Category,Action,UserID,Description
audio-streaming,alert,known-user,not available yet
auth-service,alert,known-user,not available yet
content-management,alert,known-user,not available yet
customer-service,alert,known-user,not available yet
database,alert,known-user,not available yet
design,alert,known-user,not available yet
email,alert,known-user,not available yet
encrypted-tunnel,alert,known-user,not available yet
erp-crm,alert,known-user,not available yet
file-sharing,alert,known-user,not available yet
gaming,alert,known-user,not available yet
general-business,alert,known-user,not available yet
hr,alert,known-user,not available yet
ics-protocols,alert,known-user,not available yet
infrastructure,alert,known-user,not available yet
instant-messaging,alert,known-user,not available yet
internet-conferencing,alert,known-user,not available yet
internet-utility,alert,known-user,not available yet
ip-protocol,alert,known-user,not available yet
it-infrastructure,alert,known-user,not available yet
it-management,alert,known-user,not available yet
management,alert,known-user,not available yet
marketing,alert,known-user,not available yet
medical,alert,known-user,not available yet
office-programs,alert,known-user,not available yet
photo-video,alert,known-user,not available yet
proxy,alert,known-user,not available yet
remote-access,alert,known-user,not available yet
routing,alert,known-user,not available yet
social-business,alert,known-user,not available yet
social-networking,alert,known-user,not available yet
software-development,alert,known-user,not available yet
software-update,alert,known-user,not available yet
storage-backup,alert,known-user,not available yet
voip-video,alert,known-user,not available yet
web-posting,alert,known-user,not available yet
